id,ts,ilo_server_id,reachable,health,inlet_temp_c,cpu_temp_c,power_kw,power_capacity_kw,memory_total_gb,processor_count
2,2026-04-02 12:22:07.517+00,2,t,OK,20,43,0.245,3.2,256,2
5,2026-04-02 12:24:02.882+00,2,t,OK,20,44,0.263,3.2,256,2
8,2026-04-02 12:26:01.7+00,2,t,OK,21,44,0.256,3.2,256,2
11,2026-04-02 12:28:01.845+00,2,t,OK,20,44,0.251,3.2,256,2
14,2026-04-02 12:30:02.091+00,2,t,OK,20,45,0.26,3.2,256,2
17,2026-04-02 12:32:01.966+00,2,t,OK,21,44,0.249,3.2,256,2
20,2026-04-02 12:34:02.036+00,2,t,OK,19,43,0.239,3.2,256,2
23,2026-04-02 12:36:02.246+00,2,t,OK,20,45,0.263,3.2,256,2
26,2026-04-02 12:38:02.065+00,2,t,OK,20,43,0.241,3.2,256,2
29,2026-04-02 12:40:02.334+00,2,t,OK,19,43,0.241,3.2,256,2
32,2026-04-02 12:42:02.111+00,2,t,OK,21,44,0.261,3.2,256,2
35,2026-04-02 12:44:09.71+00,2,t,OK,19,43,0.24,3.2,256,2
38,2026-04-02 12:46:02.041+00,2,t,OK,20,43,0.243,3.2,256,2
41,2026-04-02 12:47:28.84+00,2,t,OK,19,43,0.243,3.2,256,2
44,2026-04-02 12:49:08.515+00,2,t,OK,21,43,0.243,3.2,256,2
47,2026-04-02 12:51:17.199+00,2,t,OK,20,43,0.241,3.2,256,2
50,2026-04-02 12:53:17.464+00,2,t,OK,20,43,0.242,3.2,256,2
53,2026-04-02 12:55:22.084+00,2,t,OK,20,43,0.251,3.2,256,2
56,2026-04-02 12:57:08.403+00,2,t,OK,20,43,0.243,3.2,256,2
59,2026-04-02 12:59:08.404+00,2,t,OK,21,44,0.256,3.2,256,2
62,2026-04-02 13:01:08.403+00,2,t,OK,20,43,0.243,3.2,256,2
65,2026-04-02 13:03:08.404+00,2,t,OK,20,43,0.241,3.2,256,2
68,2026-04-02 13:05:08.513+00,2,t,OK,19,43,0.247,3.2,256,2
71,2026-04-02 13:07:08.512+00,2,t,OK,21,44,0.243,3.2,256,2
74,2026-04-02 13:09:08.403+00,2,t,OK,19,43,0.241,3.2,256,2
77,2026-04-02 13:11:08.405+00,2,t,OK,21,43,0.261,3.2,256,2
80,2026-04-02 13:13:08.405+00,2,t,OK,20,43,0.241,3.2,256,2
83,2026-04-02 13:15:08.518+00,2,t,OK,20,43,0.241,3.2,256,2
86,2026-04-02 13:17:08.408+00,2,t,OK,21,43,0.244,3.2,256,2
89,2026-04-02 13:19:08.406+00,2,t,OK,19,44,0.249,3.2,256,2
92,2026-04-02 13:21:08.53+00,2,t,OK,21,43,0.239,3.2,256,2
95,2026-04-02 13:23:08.406+00,2,t,OK,19,43,0.241,3.2,256,2
98,2026-04-02 13:25:08.406+00,2,t,OK,20,45,0.257,3.2,256,2
101,2026-04-02 13:27:08.529+00,2,t,OK,20,43,0.24,3.2,256,2
104,2026-04-02 13:29:17.367+00,2,t,OK,19,43,0.242,3.2,256,2
107,2026-04-02 13:31:18.095+00,2,t,OK,20,43,0.265,3.2,256,2
110,2026-04-02 13:33:17.992+00,2,t,OK,20,43,0.243,3.2,256,2
113,2026-04-02 13:35:22.355+00,2,t,OK,20,43,0.241,3.2,256,2
116,2026-04-02 13:37:08.405+00,2,t,OK,20,43,0.246,3.2,256,2
119,2026-04-02 13:39:08.509+00,2,t,OK,20,43,0.24,3.2,256,2
122,2026-04-02 13:41:08.531+00,2,t,OK,19,43,0.244,3.2,256,2
125,2026-04-02 13:43:08.525+00,2,t,OK,20,44,0.259,3.2,256,2
128,2026-04-02 13:45:08.518+00,2,t,OK,20,43,0.24,3.2,256,2
131,2026-04-02 13:47:08.518+00,2,t,OK,20,43,0.242,3.2,256,2
134,2026-04-02 13:49:21.168+00,2,t,OK,20,43,0.241,3.2,256,2
137,2026-04-02 13:51:08.408+00,2,t,OK,20,43,0.238,3.2,256,2
140,2026-04-02 13:53:08.408+00,2,t,OK,20,43,0.252,3.2,256,2
143,2026-04-02 13:55:08.518+00,2,t,OK,19,43,0.238,3.2,256,2
146,2026-04-02 13:57:08.412+00,2,t,OK,20,44,0.246,3.2,256,2
