id,ts,ilo_server_id,reachable,health,inlet_temp_c,cpu_temp_c,power_kw,power_capacity_kw,memory_total_gb,processor_count
1,2026-04-02 12:22:07.517+00,1,t,OK,20,38,0.22,1.6,512,2
4,2026-04-02 12:24:02.882+00,1,t,OK,20,38,0.22,1.6,512,2
7,2026-04-02 12:26:01.7+00,1,t,OK,21,38,0.221,1.6,512,2
10,2026-04-02 12:28:01.845+00,1,t,OK,20,38,0.22,1.6,512,2
13,2026-04-02 12:30:02.091+00,1,t,OK,20,38,0.221,1.6,512,2
16,2026-04-02 12:32:01.966+00,1,t,OK,21,38,0.22,1.6,512,2
19,2026-04-02 12:34:02.036+00,1,t,OK,19,38,0.222,1.6,512,2
22,2026-04-02 12:36:02.246+00,1,t,OK,21,38,0.221,1.6,512,2
25,2026-04-02 12:38:02.065+00,1,t,OK,20,38,0.221,1.6,512,2
28,2026-04-02 12:40:02.334+00,1,t,OK,20,38,0.221,1.6,512,2
31,2026-04-02 12:42:02.111+00,1,t,OK,21,38,0.221,1.6,512,2
34,2026-04-02 12:44:09.71+00,1,t,OK,19,38,0.221,1.6,512,2
37,2026-04-02 12:46:02.041+00,1,t,OK,21,38,0.22,1.6,512,2
40,2026-04-02 12:47:28.84+00,1,t,OK,19,38,0.22,1.6,512,2
43,2026-04-02 12:49:08.515+00,1,t,OK,21,38,0.221,1.6,512,2
46,2026-04-02 12:51:17.199+00,1,t,OK,19,38,0.222,1.6,512,2
49,2026-04-02 12:53:17.464+00,1,t,OK,20,38,0.221,1.6,512,2
52,2026-04-02 12:55:22.084+00,1,t,OK,20,38,0.221,1.6,512,2
55,2026-04-02 12:57:08.403+00,1,t,OK,20,38,0.22,1.6,512,2
58,2026-04-02 12:59:08.404+00,1,t,OK,21,38,0.22,1.6,512,2
61,2026-04-02 13:01:08.403+00,1,t,OK,20,38,0.221,1.6,512,2
64,2026-04-02 13:03:08.404+00,1,t,OK,21,38,0.221,1.6,512,2
67,2026-04-02 13:05:08.513+00,1,t,OK,19,38,0.22,1.6,512,2
70,2026-04-02 13:07:08.512+00,1,t,OK,21,38,0.22,1.6,512,2
73,2026-04-02 13:09:08.403+00,1,t,OK,19,38,0.221,1.6,512,2
76,2026-04-02 13:11:08.405+00,1,t,OK,21,38,0.22,1.6,512,2
79,2026-04-02 13:13:08.405+00,1,t,OK,19,38,0.219,1.6,512,2
82,2026-04-02 13:15:08.518+00,1,t,OK,20,38,0.22,1.6,512,2
85,2026-04-02 13:17:08.408+00,1,t,OK,21,38,0.221,1.6,512,2
88,2026-04-02 13:19:08.406+00,1,t,OK,19,38,0.221,1.6,512,2
91,2026-04-02 13:21:08.53+00,1,t,OK,21,38,0.221,1.6,512,2
94,2026-04-02 13:23:08.406+00,1,t,OK,20,38,0.22,1.6,512,2
97,2026-04-02 13:25:08.406+00,1,t,OK,21,38,0.221,1.6,512,2
100,2026-04-02 13:27:08.529+00,1,t,OK,20,38,0.22,1.6,512,2
103,2026-04-02 13:29:17.367+00,1,t,OK,20,38,0.22,1.6,512,2
106,2026-04-02 13:31:18.095+00,1,t,OK,21,38,0.221,1.6,512,2
109,2026-04-02 13:33:17.992+00,1,t,OK,20,38,0.22,1.6,512,2
112,2026-04-02 13:35:22.355+00,1,t,OK,20,38,0.221,1.6,512,2
